Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['DQN_Player', 'R0', 'R1', 'R2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[3, 4, 4, 4, 5, 6, 6, 7, 8, 9, 9, 11, 11, 11, 11, 11, 11], [1, 3, 3, 5, 7, 8, 8, 8, 9, 10, 10, 10, 10, 11, 11, 12, 12], [2, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 9, 9, 10, 10, 11, 11], [2, 4, 5, 5, 5, 6, 6, 7, 9, 9, 9, 9, 10, 10, 10, 10, 11]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'DQN_Player': None, 'R0': None, 'R1': None, 'R2': None}",,"{'DQN_Player': 0, 'R0': 0, 'R1': 0, 'R2': 0}",
1,1,,R1,DISCARD,C11;Q2;J0,0.0,[ 2.  6.  6.  7.  7.  7.  7.  8.  8.  8.  8.  9.  9. 10. 10.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q2;J0']",,,,
1,1,,R2,DISCARD,C10;Q3;J0,0.0,[ 2.  4.  5.  5.  5.  6.  6.  7.  9.  9.  9.  9. 10. 11.  0.  0.  0.],[11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q2;J0', 'C5;Q3;J0', 'C6;Q2;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C9;Q4;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'pass']",,,,
1,1,,DQN_Player,DISCARD,C4;Q3;J0,0.0,[ 3.  5.  6.  6.  7.  8.  9.  9. 11. 11. 11. 11. 11. 11.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q3;J0', 'pass']",,,,
1,1,,R0,DISCARD,pass,0.0,[ 1.  3.  3.  5.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 12. 12.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,1,,R1,DISCARD,pass,0.0,[ 2.  6.  6.  7.  7.  7.  7.  8.  8.  8.  8.  9.  9. 10. 10.  0.  0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,1,,R2,DISCARD,pass,0.0,[ 2.  4.  5.  5.  5.  6.  6.  7.  9.  9.  9.  9. 10. 11.  0.  0.  0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 4. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQN_Player,DECLARE_PIZZA,,,,,,,,,,
